"","Sex","CensusYear","Province.County.or.City","Birthplace","value"
"2204","Male","2011","Waterford City","Finland",1
"2205","Female","2011","Waterford City","Finland",3
"2206","Both sexes","2011","Waterford County","Finland",9
"2207","Male","2011","Waterford County","Finland",2
"2208","Female","2011","Waterford County","Finland",7
"2209","Both sexes","2011","Connacht","Finland",51
"2210","Male","2011","Connacht","Finland",8
"2211","Female","2011","Connacht","Finland",43
"2212","Both sexes","2011","Galway","Finland",42
"2213","Male","2011","Galway","Finland",6
"2214","Female","2011","Galway","Finland",36
"2215","Both sexes","2011","Galway City","Finland",21
"2216","Male","2011","Galway City","Finland",2
"2217","Female","2011","Galway City","Finland",19
"2218","Both sexes","2011","Galway County","Finland",21
"2219","Male","2011","Galway County","Finland",4
"2220","Female","2011","Galway County","Finland",17
"2221","Both sexes","2011","Leitrim","Finland",NA
"2222","Male","2011","Leitrim","Finland",NA
"2223","Female","2011","Leitrim","Finland",NA
"2224","Both sexes","2011","Mayo","Finland",4
"2225","Male","2011","Mayo","Finland",1
"2226","Female","2011","Mayo","Finland",3
"2227","Both sexes","2011","Roscommon","Finland",NA
"2228","Male","2011","Roscommon","Finland",NA
"2229","Female","2011","Roscommon","Finland",NA
"2230","Both sexes","2011","Sligo","Finland",5
"2231","Male","2011","Sligo","Finland",1
"2232","Female","2011","Sligo","Finland",4
"2233","Both sexes","2011","Ulster (part of)","Finland",20
"2234","Male","2011","Ulster (part of)","Finland",6
"2235","Female","2011","Ulster (part of)","Finland",14
"2236","Both sexes","2011","Cavan","Finland",3
"2237","Male","2011","Cavan","Finland",1
"2238","Female","2011","Cavan","Finland",2
"2239","Both sexes","2011","Donegal","Finland",14
"2240","Male","2011","Donegal","Finland",5
"2241","Female","2011","Donegal","Finland",9
"2242","Both sexes","2011","Monaghan","Finland",3
"2243","Male","2011","Monaghan","Finland",NA
"2244","Female","2011","Monaghan","Finland",3
"2245","Both sexes","2011","State","France",10070
"2246","Male","2011","State","France",4995
"2247","Female","2011","State","France",5075
"2248","Both sexes","2011","Leinster","France",6524
"2249","Male","2011","Leinster","France",3166
"2250","Female","2011","Leinster","France",3358
"2251","Both sexes","2011","Carlow","France",70
"2252","Male","2011","Carlow","France",36
"2253","Female","2011","Carlow","France",34
"2254","Both sexes","2011","Dublin","France",5055
"2255","Male","2011","Dublin","France",2464
"2256","Female","2011","Dublin","France",2591
"2257","Both sexes","2011","Dublin City","France",2951
"2258","Male","2011","Dublin City","France",1468
"2259","Female","2011","Dublin City","France",1483
"2260","Both sexes","2011","Dún Laoghaire-Rathdown","France",969
"2261","Male","2011","Dún Laoghaire-Rathdown","France",459
"2262","Female","2011","Dún Laoghaire-Rathdown","France",510
"2263","Both sexes","2011","Fingal","France",800
"2264","Male","2011","Fingal","France",384
"2265","Female","2011","Fingal","France",416
"2266","Both sexes","2011","South Dublin","France",335
"2267","Male","2011","South Dublin","France",153
"2268","Female","2011","South Dublin","France",182
"2269","Both sexes","2011","Kildare","France",321
"2270","Male","2011","Kildare","France",148
"2271","Female","2011","Kildare","France",173
"2272","Both sexes","2011","Kilkenny","France",79
"2273","Male","2011","Kilkenny","France",39
"2274","Female","2011","Kilkenny","France",40
"2275","Both sexes","2011","Laois","France",51
"2276","Male","2011","Laois","France",20
"2277","Female","2011","Laois","France",31
"2278","Both sexes","2011","Longford","France",20
"2279","Male","2011","Longford","France",10
"2280","Female","2011","Longford","France",10
"2281","Both sexes","2011","Louth","France",119
"2282","Male","2011","Louth","France",54
"2283","Female","2011","Louth","France",65
"2284","Both sexes","2011","Meath","France",237
"2285","Male","2011","Meath","France",115
"2286","Female","2011","Meath","France",122
"2287","Both sexes","2011","Offaly","France",45
"2288","Male","2011","Offaly","France",21
"2289","Female","2011","Offaly","France",24
"2290","Both sexes","2011","Westmeath","France",110
"2291","Male","2011","Westmeath","France",54
"2292","Female","2011","Westmeath","France",56
"2293","Both sexes","2011","Wexford","France",124
"2294","Male","2011","Wexford","France",66
"2295","Female","2011","Wexford","France",58
"2296","Both sexes","2011","Wicklow","France",293
"2297","Male","2011","Wicklow","France",139
"2298","Female","2011","Wicklow","France",154
"2299","Both sexes","2011","Munster","France",2448
"2300","Male","2011","Munster","France",1254
"2301","Female","2011","Munster","France",1194
"2302","Both sexes","2011","Clare","France",207
"2303","Male","2011","Clare","France",88
"2304","Female","2011","Clare","France",119
"2305","Both sexes","2011","Cork","France",1586
"2306","Male","2011","Cork","France",833
"2307","Female","2011","Cork","France",753
"2308","Both sexes","2011","Cork City","France",754
"2309","Male","2011","Cork City","France",436
"2310","Female","2011","Cork City","France",318
"2311","Both sexes","2011","Cork County","France",832
"2312","Male","2011","Cork County","France",397
"2313","Female","2011","Cork County","France",435
"2314","Both sexes","2011","Kerry","France",235
"2315","Male","2011","Kerry","France",125
"2316","Female","2011","Kerry","France",110
"2317","Both sexes","2011","Limerick","France",213
"2318","Male","2011","Limerick","France",106
"2319","Female","2011","Limerick","France",107
"2320","Both sexes","2011","Limerick City","France",69
"2321","Male","2011","Limerick City","France",36
"2322","Female","2011","Limerick City","France",33
"2323","Both sexes","2011","Limerick County","France",144
"2324","Male","2011","Limerick County","France",70
"2325","Female","2011","Limerick County","France",74
"2326","Both sexes","2011","North Tipperary","France",30
"2327","Male","2011","North Tipperary","France",11
"2328","Female","2011","North Tipperary","France",19
"2329","Both sexes","2011","South Tipperary","France",64
"2330","Male","2011","South Tipperary","France",31
"2331","Female","2011","South Tipperary","France",33
"2332","Both sexes","2011","Waterford","France",113
"2333","Male","2011","Waterford","France",60
"2334","Female","2011","Waterford","France",53
"2335","Both sexes","2011","Waterford City","France",55
"2336","Male","2011","Waterford City","France",30
"2337","Female","2011","Waterford City","France",25
"2338","Both sexes","2011","Waterford County","France",58
"2339","Male","2011","Waterford County","France",30
"2340","Female","2011","Waterford County","France",28
"2341","Both sexes","2011","Connacht","France",929
"2342","Male","2011","Connacht","France",483
"2343","Female","2011","Connacht","France",446
"2344","Both sexes","2011","Galway","France",614
"2345","Male","2011","Galway","France",311
"2346","Female","2011","Galway","France",303
"2347","Both sexes","2011","Galway City","France",324
"2348","Male","2011","Galway City","France",162
"2349","Female","2011","Galway City","France",162
"2350","Both sexes","2011","Galway County","France",290
"2351","Male","2011","Galway County","France",149
"2352","Female","2011","Galway County","France",141
"2353","Both sexes","2011","Leitrim","France",51
"2354","Male","2011","Leitrim","France",27
"2355","Female","2011","Leitrim","France",24
"2356","Both sexes","2011","Mayo","France",146
"2357","Male","2011","Mayo","France",81
"2358","Female","2011","Mayo","France",65
"2359","Both sexes","2011","Roscommon","France",43
"2360","Male","2011","Roscommon","France",24
"2361","Female","2011","Roscommon","France",19
"2362","Both sexes","2011","Sligo","France",75
"2363","Male","2011","Sligo","France",40
"2364","Female","2011","Sligo","France",35
"2365","Both sexes","2011","Ulster (part of)","France",169
"2366","Male","2011","Ulster (part of)","France",92
"2367","Female","2011","Ulster (part of)","France",77
"2368","Both sexes","2011","Cavan","France",44
"2369","Male","2011","Cavan","France",25
"2370","Female","2011","Cavan","France",19
"2371","Both sexes","2011","Donegal","France",108
"2372","Male","2011","Donegal","France",58
"2373","Female","2011","Donegal","France",50
"2374","Both sexes","2011","Monaghan","France",17
"2375","Male","2011","Monaghan","France",9
"2376","Female","2011","Monaghan","France",8
"2377","Both sexes","2011","State","Greece",575
"2378","Male","2011","State","Greece",334
"2379","Female","2011","State","Greece",241
"2380","Both sexes","2011","Leinster","Greece",397
"2381","Male","2011","Leinster","Greece",229
"2382","Female","2011","Leinster","Greece",168
"2383","Both sexes","2011","Carlow","Greece",5
"2384","Male","2011","Carlow","Greece",4
"2385","Female","2011","Carlow","Greece",1
"2386","Both sexes","2011","Dublin","Greece",292
"2387","Male","2011","Dublin","Greece",169
"2388","Female","2011","Dublin","Greece",123
"2389","Both sexes","2011","Dublin City","Greece",155
"2390","Male","2011","Dublin City","Greece",93
"2391","Female","2011","Dublin City","Greece",62
"2392","Both sexes","2011","Dún Laoghaire-Rathdown","Greece",68
"2393","Male","2011","Dún Laoghaire-Rathdown","Greece",36
"2394","Female","2011","Dún Laoghaire-Rathdown","Greece",32
"2395","Both sexes","2011","Fingal","Greece",48
"2396","Male","2011","Fingal","Greece",26
"2397","Female","2011","Fingal","Greece",22
"2398","Both sexes","2011","South Dublin","Greece",21
"2399","Male","2011","South Dublin","Greece",14
"2400","Female","2011","South Dublin","Greece",7
"2401","Both sexes","2011","Kildare","Greece",20
"2402","Male","2011","Kildare","Greece",8
"2403","Female","2011","Kildare","Greece",12
"2404","Both sexes","2011","Kilkenny","Greece",4
"2405","Male","2011","Kilkenny","Greece",1
"2406","Female","2011","Kilkenny","Greece",3
"2407","Both sexes","2011","Laois","Greece",3
"2408","Male","2011","Laois","Greece",2
"2409","Female","2011","Laois","Greece",1
"2410","Both sexes","2011","Longford","Greece",2
"2411","Male","2011","Longford","Greece",1
"2412","Female","2011","Longford","Greece",1
"2413","Both sexes","2011","Louth","Greece",10
"2414","Male","2011","Louth","Greece",6
"2415","Female","2011","Louth","Greece",4
"2416","Both sexes","2011","Meath","Greece",25
"2417","Male","2011","Meath","Greece",14
"2418","Female","2011","Meath","Greece",11
"2419","Both sexes","2011","Offaly","Greece",5
"2420","Male","2011","Offaly","Greece",4
"2421","Female","2011","Offaly","Greece",1
"2422","Both sexes","2011","Westmeath","Greece",8
"2423","Male","2011","Westmeath","Greece",5
"2424","Female","2011","Westmeath","Greece",3
"2425","Both sexes","2011","Wexford","Greece",8
"2426","Male","2011","Wexford","Greece",5
"2427","Female","2011","Wexford","Greece",3
"2428","Both sexes","2011","Wicklow","Greece",15
"2429","Male","2011","Wicklow","Greece",10
"2430","Female","2011","Wicklow","Greece",5
"2431","Both sexes","2011","Munster","Greece",122
"2432","Male","2011","Munster","Greece",73
"2433","Female","2011","Munster","Greece",49
"2434","Both sexes","2011","Clare","Greece",14
"2435","Male","2011","Clare","Greece",11
"2436","Female","2011","Clare","Greece",3
"2437","Both sexes","2011","Cork","Greece",72
"2438","Male","2011","Cork","Greece",39
"2439","Female","2011","Cork","Greece",33
"2440","Both sexes","2011","Cork City","Greece",32
"2441","Male","2011","Cork City","Greece",17
"2442","Female","2011","Cork City","Greece",15
"2443","Both sexes","2011","Cork County","Greece",40
"2444","Male","2011","Cork County","Greece",22
"2445","Female","2011","Cork County","Greece",18
"2446","Both sexes","2011","Kerry","Greece",5
"2447","Male","2011","Kerry","Greece",5
"2448","Female","2011","Kerry","Greece",NA
"2449","Both sexes","2011","Limerick","Greece",19
"2450","Male","2011","Limerick","Greece",12
"2451","Female","2011","Limerick","Greece",7
"2452","Both sexes","2011","Limerick City","Greece",4
"2453","Male","2011","Limerick City","Greece",2
"2454","Female","2011","Limerick City","Greece",2
"2455","Both sexes","2011","Limerick County","Greece",15
"2456","Male","2011","Limerick County","Greece",10
"2457","Female","2011","Limerick County","Greece",5
"2458","Both sexes","2011","North Tipperary","Greece",6
"2459","Male","2011","North Tipperary","Greece",2
"2460","Female","2011","North Tipperary","Greece",4
"2461","Both sexes","2011","South Tipperary","Greece",2
"2462","Male","2011","South Tipperary","Greece",1
"2463","Female","2011","South Tipperary","Greece",1
"2464","Both sexes","2011","Waterford","Greece",4
"2465","Male","2011","Waterford","Greece",3
"2466","Female","2011","Waterford","Greece",1
"2467","Both sexes","2011","Waterford City","Greece",4
"2468","Male","2011","Waterford City","Greece",3
"2469","Female","2011","Waterford City","Greece",1
"2470","Both sexes","2011","Waterford County","Greece",NA
"2471","Male","2011","Waterford County","Greece",NA
"2472","Female","2011","Waterford County","Greece",NA
"2473","Both sexes","2011","Connacht","Greece",40
"2474","Male","2011","Connacht","Greece",22
"2475","Female","2011","Connacht","Greece",18
"2476","Both sexes","2011","Galway","Greece",27
"2477","Male","2011","Galway","Greece",15
"2478","Female","2011","Galway","Greece",12
"2479","Both sexes","2011","Galway City","Greece",16
"2480","Male","2011","Galway City","Greece",10
"2481","Female","2011","Galway City","Greece",6
"2482","Both sexes","2011","Galway County","Greece",11
"2483","Male","2011","Galway County","Greece",5
"2484","Female","2011","Galway County","Greece",6
"2485","Both sexes","2011","Leitrim","Greece",NA
"2486","Male","2011","Leitrim","Greece",NA
"2487","Female","2011","Leitrim","Greece",NA
"2488","Both sexes","2011","Mayo","Greece",6
"2489","Male","2011","Mayo","Greece",3
"2490","Female","2011","Mayo","Greece",3
"2491","Both sexes","2011","Roscommon","Greece",1
"2492","Male","2011","Roscommon","Greece",1
"2493","Female","2011","Roscommon","Greece",NA
"2494","Both sexes","2011","Sligo","Greece",6
"2495","Male","2011","Sligo","Greece",3
"2496","Female","2011","Sligo","Greece",3
"2497","Both sexes","2011","Ulster (part of)","Greece",16
"2498","Male","2011","Ulster (part of)","Greece",10
"2499","Female","2011","Ulster (part of)","Greece",6
"2500","Both sexes","2011","Cavan","Greece",8
"2501","Male","2011","Cavan","Greece",5
"2502","Female","2011","Cavan","Greece",3
"2503","Both sexes","2011","Donegal","Greece",7
"2504","Male","2011","Donegal","Greece",4
"2505","Female","2011","Donegal","Greece",3
"2506","Both sexes","2011","Monaghan","Greece",1
"2507","Male","2011","Monaghan","Greece",1
"2508","Female","2011","Monaghan","Greece",NA
"2509","Both sexes","2011","State","Hong Kong",1705
"2510","Male","2011","State","Hong Kong",944
"2511","Female","2011","State","Hong Kong",761
"2512","Both sexes","2011","Leinster","Hong Kong",1176
"2513","Male","2011","Leinster","Hong Kong",642
"2514","Female","2011","Leinster","Hong Kong",534
"2515","Both sexes","2011","Carlow","Hong Kong",19
"2516","Male","2011","Carlow","Hong Kong",11
"2517","Female","2011","Carlow","Hong Kong",8
"2518","Both sexes","2011","Dublin","Hong Kong",845
"2519","Male","2011","Dublin","Hong Kong",461
"2520","Female","2011","Dublin","Hong Kong",384
"2521","Both sexes","2011","Dublin City","Hong Kong",250
"2522","Male","2011","Dublin City","Hong Kong",137
"2523","Female","2011","Dublin City","Hong Kong",113
"2524","Both sexes","2011","Dún Laoghaire-Rathdown","Hong Kong",157
"2525","Male","2011","Dún Laoghaire-Rathdown","Hong Kong",81
"2526","Female","2011","Dún Laoghaire-Rathdown","Hong Kong",76
"2527","Both sexes","2011","Fingal","Hong Kong",235
"2528","Male","2011","Fingal","Hong Kong",143
"2529","Female","2011","Fingal","Hong Kong",92
"2530","Both sexes","2011","South Dublin","Hong Kong",203
"2531","Male","2011","South Dublin","Hong Kong",100
"2532","Female","2011","South Dublin","Hong Kong",103
"2533","Both sexes","2011","Kildare","Hong Kong",76
"2534","Male","2011","Kildare","Hong Kong",41
"2535","Female","2011","Kildare","Hong Kong",35
"2536","Both sexes","2011","Kilkenny","Hong Kong",13
"2537","Male","2011","Kilkenny","Hong Kong",5
"2538","Female","2011","Kilkenny","Hong Kong",8
"2539","Both sexes","2011","Laois","Hong Kong",14
"2540","Male","2011","Laois","Hong Kong",8
"2541","Female","2011","Laois","Hong Kong",6
"2542","Both sexes","2011","Longford","Hong Kong",2
"2543","Male","2011","Longford","Hong Kong",2
"2544","Female","2011","Longford","Hong Kong",NA
"2545","Both sexes","2011","Louth","Hong Kong",35
"2546","Male","2011","Louth","Hong Kong",21
"2547","Female","2011","Louth","Hong Kong",14
"2548","Both sexes","2011","Meath","Hong Kong",63
"2549","Male","2011","Meath","Hong Kong",36
"2550","Female","2011","Meath","Hong Kong",27
"2551","Both sexes","2011","Offaly","Hong Kong",15
"2552","Male","2011","Offaly","Hong Kong",8
"2553","Female","2011","Offaly","Hong Kong",7
"2554","Both sexes","2011","Westmeath","Hong Kong",29
"2555","Male","2011","Westmeath","Hong Kong",18
"2556","Female","2011","Westmeath","Hong Kong",11
"2557","Both sexes","2011","Wexford","Hong Kong",22
"2558","Male","2011","Wexford","Hong Kong",14
"2559","Female","2011","Wexford","Hong Kong",8
"2560","Both sexes","2011","Wicklow","Hong Kong",43
"2561","Male","2011","Wicklow","Hong Kong",17
"2562","Female","2011","Wicklow","Hong Kong",26
"2563","Both sexes","2011","Munster","Hong Kong",350
"2564","Male","2011","Munster","Hong Kong",209
"2565","Female","2011","Munster","Hong Kong",141
"2566","Both sexes","2011","Clare","Hong Kong",39
"2567","Male","2011","Clare","Hong Kong",20
"2568","Female","2011","Clare","Hong Kong",19
"2569","Both sexes","2011","Cork","Hong Kong",155
"2570","Male","2011","Cork","Hong Kong",92
"2571","Female","2011","Cork","Hong Kong",63
"2572","Both sexes","2011","Cork City","Hong Kong",31
"2573","Male","2011","Cork City","Hong Kong",23
"2574","Female","2011","Cork City","Hong Kong",8
"2575","Both sexes","2011","Cork County","Hong Kong",124
"2576","Male","2011","Cork County","Hong Kong",69
"2577","Female","2011","Cork County","Hong Kong",55
"2578","Both sexes","2011","Kerry","Hong Kong",22
"2579","Male","2011","Kerry","Hong Kong",13
"2580","Female","2011","Kerry","Hong Kong",9
"2581","Both sexes","2011","Limerick","Hong Kong",64
"2582","Male","2011","Limerick","Hong Kong",42
"2583","Female","2011","Limerick","Hong Kong",22
"2584","Both sexes","2011","Limerick City","Hong Kong",28
"2585","Male","2011","Limerick City","Hong Kong",21
"2586","Female","2011","Limerick City","Hong Kong",7
"2587","Both sexes","2011","Limerick County","Hong Kong",36
"2588","Male","2011","Limerick County","Hong Kong",21
"2589","Female","2011","Limerick County","Hong Kong",15
"2590","Both sexes","2011","North Tipperary","Hong Kong",15
"2591","Male","2011","North Tipperary","Hong Kong",8
"2592","Female","2011","North Tipperary","Hong Kong",7
"2593","Both sexes","2011","South Tipperary","Hong Kong",20
"2594","Male","2011","South Tipperary","Hong Kong",12
"2595","Female","2011","South Tipperary","Hong Kong",8
"2596","Both sexes","2011","Waterford","Hong Kong",35
"2597","Male","2011","Waterford","Hong Kong",22
"2598","Female","2011","Waterford","Hong Kong",13
"2599","Both sexes","2011","Waterford City","Hong Kong",25
"2600","Male","2011","Waterford City","Hong Kong",16
"2601","Female","2011","Waterford City","Hong Kong",9
"2602","Both sexes","2011","Waterford County","Hong Kong",10
"2603","Male","2011","Waterford County","Hong Kong",6
"2604","Female","2011","Waterford County","Hong Kong",4
"2605","Both sexes","2011","Connacht","Hong Kong",126
"2606","Male","2011","Connacht","Hong Kong",67
"2607","Female","2011","Connacht","Hong Kong",59
"2608","Both sexes","2011","Galway","Hong Kong",55
"2609","Male","2011","Galway","Hong Kong",25
"2610","Female","2011","Galway","Hong Kong",30
"2611","Both sexes","2011","Galway City","Hong Kong",34
"2612","Male","2011","Galway City","Hong Kong",18
"2613","Female","2011","Galway City","Hong Kong",16
"2614","Both sexes","2011","Galway County","Hong Kong",21
"2615","Male","2011","Galway County","Hong Kong",7
"2616","Female","2011","Galway County","Hong Kong",14
"2617","Both sexes","2011","Leitrim","Hong Kong",4
"2618","Male","2011","Leitrim","Hong Kong",2
"2619","Female","2011","Leitrim","Hong Kong",2
"2620","Both sexes","2011","Mayo","Hong Kong",37
"2621","Male","2011","Mayo","Hong Kong",21
"2622","Female","2011","Mayo","Hong Kong",16
"2623","Both sexes","2011","Roscommon","Hong Kong",10
"2624","Male","2011","Roscommon","Hong Kong",5
"2625","Female","2011","Roscommon","Hong Kong",5
"2626","Both sexes","2011","Sligo","Hong Kong",20
"2627","Male","2011","Sligo","Hong Kong",14
"2628","Female","2011","Sligo","Hong Kong",6
"2629","Both sexes","2011","Ulster (part of)","Hong Kong",53
"2630","Male","2011","Ulster (part of)","Hong Kong",26
"2631","Female","2011","Ulster (part of)","Hong Kong",27
"2632","Both sexes","2011","Cavan","Hong Kong",10
"2633","Male","2011","Cavan","Hong Kong",6
"2634","Female","2011","Cavan","Hong Kong",4
"2635","Both sexes","2011","Donegal","Hong Kong",28
"2636","Male","2011","Donegal","Hong Kong",11
"2637","Female","2011","Donegal","Hong Kong",17
"2638","Both sexes","2011","Monaghan","Hong Kong",15
"2639","Male","2011","Monaghan","Hong Kong",9
"2640","Female","2011","Monaghan","Hong Kong",6
"2641","Both sexes","2011","State","Hungary",7413
"2642","Male","2011","State","Hungary",3883
"2643","Female","2011","State","Hungary",3530
"2644","Both sexes","2011","Leinster","Hungary",4335
"2645","Male","2011","Leinster","Hungary",2282
"2646","Female","2011","Leinster","Hungary",2053
"2647","Both sexes","2011","Carlow","Hungary",48
"2648","Male","2011","Carlow","Hungary",24
"2649","Female","2011","Carlow","Hungary",24
"2650","Both sexes","2011","Dublin","Hungary",2965
"2651","Male","2011","Dublin","Hungary",1528
"2652","Female","2011","Dublin","Hungary",1437
"2653","Both sexes","2011","Dublin City","Hungary",1605
"2654","Male","2011","Dublin City","Hungary",860
"2655","Female","2011","Dublin City","Hungary",745
"2656","Both sexes","2011","Dún Laoghaire-Rathdown","Hungary",415
"2657","Male","2011","Dún Laoghaire-Rathdown","Hungary",186
"2658","Female","2011","Dún Laoghaire-Rathdown","Hungary",229
"2659","Both sexes","2011","Fingal","Hungary",583
"2660","Male","2011","Fingal","Hungary",293
"2661","Female","2011","Fingal","Hungary",290
"2662","Both sexes","2011","South Dublin","Hungary",362
"2663","Male","2011","South Dublin","Hungary",189
"2664","Female","2011","South Dublin","Hungary",173
"2665","Both sexes","2011","Kildare","Hungary",208
"2666","Male","2011","Kildare","Hungary",105
"2667","Female","2011","Kildare","Hungary",103
"2668","Both sexes","2011","Kilkenny","Hungary",90
"2669","Male","2011","Kilkenny","Hungary",51
"2670","Female","2011","Kilkenny","Hungary",39
"2671","Both sexes","2011","Laois","Hungary",54
"2672","Male","2011","Laois","Hungary",28
"2673","Female","2011","Laois","Hungary",26
"2674","Both sexes","2011","Longford","Hungary",23
"2675","Male","2011","Longford","Hungary",15
"2676","Female","2011","Longford","Hungary",8
"2677","Both sexes","2011","Louth","Hungary",136
"2678","Male","2011","Louth","Hungary",72
"2679","Female","2011","Louth","Hungary",64
"2680","Both sexes","2011","Meath","Hungary",168
"2681","Male","2011","Meath","Hungary",78
"2682","Female","2011","Meath","Hungary",90
"2683","Both sexes","2011","Offaly","Hungary",178
"2684","Male","2011","Offaly","Hungary",122
"2685","Female","2011","Offaly","Hungary",56
"2686","Both sexes","2011","Westmeath","Hungary",61
"2687","Male","2011","Westmeath","Hungary",29
"2688","Female","2011","Westmeath","Hungary",32
"2689","Both sexes","2011","Wexford","Hungary",206
"2690","Male","2011","Wexford","Hungary",122
"2691","Female","2011","Wexford","Hungary",84
"2692","Both sexes","2011","Wicklow","Hungary",198
"2693","Male","2011","Wicklow","Hungary",108
"2694","Female","2011","Wicklow","Hungary",90
"2695","Both sexes","2011","Munster","Hungary",2210
"2696","Male","2011","Munster","Hungary",1157
"2697","Female","2011","Munster","Hungary",1053
"2698","Both sexes","2011","Clare","Hungary",91
"2699","Male","2011","Clare","Hungary",39
"2700","Female","2011","Clare","Hungary",52
"2701","Both sexes","2011","Cork","Hungary",1264
"2702","Male","2011","Cork","Hungary",661
"2703","Female","2011","Cork","Hungary",603
"2704","Both sexes","2011","Cork City","Hungary",320
"2705","Male","2011","Cork City","Hungary",149
"2706","Female","2011","Cork City","Hungary",171
"2707","Both sexes","2011","Cork County","Hungary",944
"2708","Male","2011","Cork County","Hungary",512
"2709","Female","2011","Cork County","Hungary",432
"2710","Both sexes","2011","Kerry","Hungary",118
"2711","Male","2011","Kerry","Hungary",60
"2712","Female","2011","Kerry","Hungary",58
"2713","Both sexes","2011","Limerick","Hungary",143
"2714","Male","2011","Limerick","Hungary",71
"2715","Female","2011","Limerick","Hungary",72
"2716","Both sexes","2011","Limerick City","Hungary",47
"2717","Male","2011","Limerick City","Hungary",24
"2718","Female","2011","Limerick City","Hungary",23
"2719","Both sexes","2011","Limerick County","Hungary",96
"2720","Male","2011","Limerick County","Hungary",47
"2721","Female","2011","Limerick County","Hungary",49
"2722","Both sexes","2011","North Tipperary","Hungary",277
"2723","Male","2011","North Tipperary","Hungary",157
"2724","Female","2011","North Tipperary","Hungary",120
"2725","Both sexes","2011","South Tipperary","Hungary",99
"2726","Male","2011","South Tipperary","Hungary",53
"2727","Female","2011","South Tipperary","Hungary",46
"2728","Both sexes","2011","Waterford","Hungary",218
"2729","Male","2011","Waterford","Hungary",116
"2730","Female","2011","Waterford","Hungary",102
"2731","Both sexes","2011","Waterford City","Hungary",66
"2732","Male","2011","Waterford City","Hungary",34
"2733","Female","2011","Waterford City","Hungary",32
"2734","Both sexes","2011","Waterford County","Hungary",152
"2735","Male","2011","Waterford County","Hungary",82
"2736","Female","2011","Waterford County","Hungary",70
"2737","Both sexes","2011","Connacht","Hungary",675
"2738","Male","2011","Connacht","Hungary",351
"2739","Female","2011","Connacht","Hungary",324
"2740","Both sexes","2011","Galway","Hungary",450
"2741","Male","2011","Galway","Hungary",238
"2742","Female","2011","Galway","Hungary",212
"2743","Both sexes","2011","Galway City","Hungary",191
"2744","Male","2011","Galway City","Hungary",96
"2745","Female","2011","Galway City","Hungary",95
"2746","Both sexes","2011","Galway County","Hungary",259
"2747","Male","2011","Galway County","Hungary",142
"2748","Female","2011","Galway County","Hungary",117
"2749","Both sexes","2011","Leitrim","Hungary",26
"2750","Male","2011","Leitrim","Hungary",16
"2751","Female","2011","Leitrim","Hungary",10
"2752","Both sexes","2011","Mayo","Hungary",118
"2753","Male","2011","Mayo","Hungary",60
"2754","Female","2011","Mayo","Hungary",58
"2755","Both sexes","2011","Roscommon","Hungary",26
"2756","Male","2011","Roscommon","Hungary",11
"2757","Female","2011","Roscommon","Hungary",15
"2758","Both sexes","2011","Sligo","Hungary",55
"2759","Male","2011","Sligo","Hungary",26
"2760","Female","2011","Sligo","Hungary",29
"2761","Both sexes","2011","Ulster (part of)","Hungary",193
"2762","Male","2011","Ulster (part of)","Hungary",93
"2763","Female","2011","Ulster (part of)","Hungary",100
"2764","Both sexes","2011","Cavan","Hungary",33
"2765","Male","2011","Cavan","Hungary",13
"2766","Female","2011","Cavan","Hungary",20
"2767","Both sexes","2011","Donegal","Hungary",125
"2768","Male","2011","Donegal","Hungary",58
"2769","Female","2011","Donegal","Hungary",67
"2770","Both sexes","2011","Monaghan","Hungary",35
"2771","Male","2011","Monaghan","Hungary",22
"2772","Female","2011","Monaghan","Hungary",13
"2773","Both sexes","2011","State","Ireland",3758511
"2774","Male","2011","State","Ireland",1862656
"2775","Female","2011","State","Ireland",1895855
"2776","Both sexes","2011","Leinster","Ireland",2036759
"2777","Male","2011","Leinster","Ireland",1001160
"2778","Female","2011","Leinster","Ireland",1035599
"2779","Both sexes","2011","Carlow","Ireland",46374
"2780","Male","2011","Carlow","Ireland",23215
"2781","Female","2011","Carlow","Ireland",23159
"2782","Both sexes","2011","Dublin","Ireland",998628
"2783","Male","2011","Dublin","Ireland",484003
"2784","Female","2011","Dublin","Ireland",514625
"2785","Both sexes","2011","Dublin City","Ireland",403596
"2786","Male","2011","Dublin City","Ireland",195005
"2787","Female","2011","Dublin City","Ireland",208591
"2788","Both sexes","2011","Dún Laoghaire-Rathdown","Ireland",167677
"2789","Male","2011","Dún Laoghaire-Rathdown","Ireland",80405
"2790","Female","2011","Dún Laoghaire-Rathdown","Ireland",87272
"2791","Both sexes","2011","Fingal","Ireland",208892
"2792","Male","2011","Fingal","Ireland",102345
"2793","Female","2011","Fingal","Ireland",106547
"2794","Both sexes","2011","South Dublin","Ireland",218463
"2795","Male","2011","South Dublin","Ireland",106248
"2796","Female","2011","South Dublin","Ireland",112215
"2797","Both sexes","2011","Kildare","Ireland",175435
"2798","Male","2011","Kildare","Ireland",87149
"2799","Female","2011","Kildare","Ireland",88286
"2800","Both sexes","2011","Kilkenny","Ireland",82655
"2801","Male","2011","Kilkenny","Ireland",41448
"2802","Female","2011","Kilkenny","Ireland",41207
"2803","Both sexes","2011","Laois","Ireland",69186
"2804","Male","2011","Laois","Ireland",34995
"2805","Female","2011","Laois","Ireland",34191
"2806","Both sexes","2011","Longford","Ireland",31711
