"","Age.at.which.Full.Time.Education.Ceased","Sex","CensusYear","Province.County.or.City","Highest.Level.of.Education.Completed","value"
"9083","22 years","Both sexes","2011","Leitrim","Primary",NA
"9084","23 years","Both sexes","2011","Leitrim","Primary",NA
"9085","24 years","Both sexes","2011","Leitrim","Primary",NA
"9086","25 years and over","Both sexes","2011","Leitrim","Primary",NA
"9087","Not stated","Both sexes","2011","Leitrim","Primary",810
"9088","Total whose full-time education has not ceased","Both sexes","2011","Leitrim","Primary",NA
"9089","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Leitrim","Primary",NA
"9090","Full-time education not ceased - Other","Both sexes","2011","Leitrim","Primary",NA
"9091","Total persons","Male","2011","Leitrim","Primary",2031
"9092","Total whose full-time education has ceased","Male","2011","Leitrim","Primary",2031
"9093","Under 15 years","Male","2011","Leitrim","Primary",1061
"9094","15 years","Male","2011","Leitrim","Primary",238
"9095","16 years","Male","2011","Leitrim","Primary",198
"9096","17 years","Male","2011","Leitrim","Primary",31
"9097","18 years","Male","2011","Leitrim","Primary",36
"9098","19 years","Male","2011","Leitrim","Primary",6
"9099","20 years","Male","2011","Leitrim","Primary",NA
"9100","21 years","Male","2011","Leitrim","Primary",NA
"9101","22 years","Male","2011","Leitrim","Primary",NA
"9102","23 years","Male","2011","Leitrim","Primary",NA
"9103","24 years","Male","2011","Leitrim","Primary",NA
"9104","25 years and over","Male","2011","Leitrim","Primary",NA
"9105","Not stated","Male","2011","Leitrim","Primary",461
"9106","Total whose full-time education has not ceased","Male","2011","Leitrim","Primary",NA
"9107","Full-time education not ceased - Total at school, university, etc.","Male","2011","Leitrim","Primary",NA
"9108","Full-time education not ceased - Other","Male","2011","Leitrim","Primary",NA
"9109","Total persons","Female","2011","Leitrim","Primary",1400
"9110","Total whose full-time education has ceased","Female","2011","Leitrim","Primary",1400
"9111","Under 15 years","Female","2011","Leitrim","Primary",639
"9112","15 years","Female","2011","Leitrim","Primary",202
"9113","16 years","Female","2011","Leitrim","Primary",146
"9114","17 years","Female","2011","Leitrim","Primary",40
"9115","18 years","Female","2011","Leitrim","Primary",17
"9116","19 years","Female","2011","Leitrim","Primary",7
"9117","20 years","Female","2011","Leitrim","Primary",NA
"9118","21 years","Female","2011","Leitrim","Primary",NA
"9119","22 years","Female","2011","Leitrim","Primary",NA
"9120","23 years","Female","2011","Leitrim","Primary",NA
"9121","24 years","Female","2011","Leitrim","Primary",NA
"9122","25 years and over","Female","2011","Leitrim","Primary",NA
"9123","Not stated","Female","2011","Leitrim","Primary",349
"9124","Total whose full-time education has not ceased","Female","2011","Leitrim","Primary",NA
"9125","Full-time education not ceased - Total at school, university, etc.","Female","2011","Leitrim","Primary",NA
"9126","Full-time education not ceased - Other","Female","2011","Leitrim","Primary",NA
"9127","Total persons","Both sexes","2011","Mayo","Primary",16622
"9128","Total whose full-time education has ceased","Both sexes","2011","Mayo","Primary",16622
"9129","Under 15 years","Both sexes","2011","Mayo","Primary",9067
"9130","15 years","Both sexes","2011","Mayo","Primary",1902
"9131","16 years","Both sexes","2011","Mayo","Primary",1309
"9132","17 years","Both sexes","2011","Mayo","Primary",250
"9133","18 years","Both sexes","2011","Mayo","Primary",306
"9134","19 years","Both sexes","2011","Mayo","Primary",52
"9135","20 years","Both sexes","2011","Mayo","Primary",NA
"9136","21 years","Both sexes","2011","Mayo","Primary",NA
"9137","22 years","Both sexes","2011","Mayo","Primary",NA
"9138","23 years","Both sexes","2011","Mayo","Primary",NA
"9139","24 years","Both sexes","2011","Mayo","Primary",NA
"9140","25 years and over","Both sexes","2011","Mayo","Primary",NA
"9141","Not stated","Both sexes","2011","Mayo","Primary",3736
"9142","Total whose full-time education has not ceased","Both sexes","2011","Mayo","Primary",NA
"9143","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Mayo","Primary",NA
"9144","Full-time education not ceased - Other","Both sexes","2011","Mayo","Primary",NA
"9145","Total persons","Male","2011","Mayo","Primary",9507
"9146","Total whose full-time education has ceased","Male","2011","Mayo","Primary",9507
"9147","Under 15 years","Male","2011","Mayo","Primary",5450
"9148","15 years","Male","2011","Mayo","Primary",1007
"9149","16 years","Male","2011","Mayo","Primary",697
"9150","17 years","Male","2011","Mayo","Primary",111
"9151","18 years","Male","2011","Mayo","Primary",149
"9152","19 years","Male","2011","Mayo","Primary",27
"9153","20 years","Male","2011","Mayo","Primary",NA
"9154","21 years","Male","2011","Mayo","Primary",NA
"9155","22 years","Male","2011","Mayo","Primary",NA
"9156","23 years","Male","2011","Mayo","Primary",NA
"9157","24 years","Male","2011","Mayo","Primary",NA
"9158","25 years and over","Male","2011","Mayo","Primary",NA
"9159","Not stated","Male","2011","Mayo","Primary",2066
"9160","Total whose full-time education has not ceased","Male","2011","Mayo","Primary",NA
"9161","Full-time education not ceased - Total at school, university, etc.","Male","2011","Mayo","Primary",NA
"9162","Full-time education not ceased - Other","Male","2011","Mayo","Primary",NA
"9163","Total persons","Female","2011","Mayo","Primary",7115
"9164","Total whose full-time education has ceased","Female","2011","Mayo","Primary",7115
"9165","Under 15 years","Female","2011","Mayo","Primary",3617
"9166","15 years","Female","2011","Mayo","Primary",895
"9167","16 years","Female","2011","Mayo","Primary",612
"9168","17 years","Female","2011","Mayo","Primary",139
"9169","18 years","Female","2011","Mayo","Primary",157
"9170","19 years","Female","2011","Mayo","Primary",25
"9171","20 years","Female","2011","Mayo","Primary",NA
"9172","21 years","Female","2011","Mayo","Primary",NA
"9173","22 years","Female","2011","Mayo","Primary",NA
"9174","23 years","Female","2011","Mayo","Primary",NA
"9175","24 years","Female","2011","Mayo","Primary",NA
"9176","25 years and over","Female","2011","Mayo","Primary",NA
"9177","Not stated","Female","2011","Mayo","Primary",1670
"9178","Total whose full-time education has not ceased","Female","2011","Mayo","Primary",NA
"9179","Full-time education not ceased - Total at school, university, etc.","Female","2011","Mayo","Primary",NA
"9180","Full-time education not ceased - Other","Female","2011","Mayo","Primary",NA
"9181","Total persons","Both sexes","2011","Roscommon","Primary",6803
"9182","Total whose full-time education has ceased","Both sexes","2011","Roscommon","Primary",6803
"9183","Under 15 years","Both sexes","2011","Roscommon","Primary",3231
"9184","15 years","Both sexes","2011","Roscommon","Primary",820
"9185","16 years","Both sexes","2011","Roscommon","Primary",656
"9186","17 years","Both sexes","2011","Roscommon","Primary",142
"9187","18 years","Both sexes","2011","Roscommon","Primary",148
"9188","19 years","Both sexes","2011","Roscommon","Primary",30
"9189","20 years","Both sexes","2011","Roscommon","Primary",NA
"9190","21 years","Both sexes","2011","Roscommon","Primary",NA
"9191","22 years","Both sexes","2011","Roscommon","Primary",NA
"9192","23 years","Both sexes","2011","Roscommon","Primary",NA
"9193","24 years","Both sexes","2011","Roscommon","Primary",NA
"9194","25 years and over","Both sexes","2011","Roscommon","Primary",NA
"9195","Not stated","Both sexes","2011","Roscommon","Primary",1776
"9196","Total whose full-time education has not ceased","Both sexes","2011","Roscommon","Primary",NA
"9197","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Roscommon","Primary",NA
"9198","Full-time education not ceased - Other","Both sexes","2011","Roscommon","Primary",NA
"9199","Total persons","Male","2011","Roscommon","Primary",3985
"9200","Total whose full-time education has ceased","Male","2011","Roscommon","Primary",3985
"9201","Under 15 years","Male","2011","Roscommon","Primary",2055
"9202","15 years","Male","2011","Roscommon","Primary",454
"9203","16 years","Male","2011","Roscommon","Primary",341
"9204","17 years","Male","2011","Roscommon","Primary",70
"9205","18 years","Male","2011","Roscommon","Primary",67
"9206","19 years","Male","2011","Roscommon","Primary",12
"9207","20 years","Male","2011","Roscommon","Primary",NA
"9208","21 years","Male","2011","Roscommon","Primary",NA
"9209","22 years","Male","2011","Roscommon","Primary",NA
"9210","23 years","Male","2011","Roscommon","Primary",NA
"9211","24 years","Male","2011","Roscommon","Primary",NA
"9212","25 years and over","Male","2011","Roscommon","Primary",NA
"9213","Not stated","Male","2011","Roscommon","Primary",986
"9214","Total whose full-time education has not ceased","Male","2011","Roscommon","Primary",NA
"9215","Full-time education not ceased - Total at school, university, etc.","Male","2011","Roscommon","Primary",NA
"9216","Full-time education not ceased - Other","Male","2011","Roscommon","Primary",NA
"9217","Total persons","Female","2011","Roscommon","Primary",2818
"9218","Total whose full-time education has ceased","Female","2011","Roscommon","Primary",2818
"9219","Under 15 years","Female","2011","Roscommon","Primary",1176
"9220","15 years","Female","2011","Roscommon","Primary",366
"9221","16 years","Female","2011","Roscommon","Primary",315
"9222","17 years","Female","2011","Roscommon","Primary",72
"9223","18 years","Female","2011","Roscommon","Primary",81
"9224","19 years","Female","2011","Roscommon","Primary",18
"9225","20 years","Female","2011","Roscommon","Primary",NA
"9226","21 years","Female","2011","Roscommon","Primary",NA
"9227","22 years","Female","2011","Roscommon","Primary",NA
"9228","23 years","Female","2011","Roscommon","Primary",NA
"9229","24 years","Female","2011","Roscommon","Primary",NA
"9230","25 years and over","Female","2011","Roscommon","Primary",NA
"9231","Not stated","Female","2011","Roscommon","Primary",790
"9232","Total whose full-time education has not ceased","Female","2011","Roscommon","Primary",NA
"9233","Full-time education not ceased - Total at school, university, etc.","Female","2011","Roscommon","Primary",NA
"9234","Full-time education not ceased - Other","Female","2011","Roscommon","Primary",NA
"9235","Total persons","Both sexes","2011","Sligo","Primary",5887
"9236","Total whose full-time education has ceased","Both sexes","2011","Sligo","Primary",5887
"9237","Under 15 years","Both sexes","2011","Sligo","Primary",2469
"9238","15 years","Both sexes","2011","Sligo","Primary",696
"9239","16 years","Both sexes","2011","Sligo","Primary",574
"9240","17 years","Both sexes","2011","Sligo","Primary",123
"9241","18 years","Both sexes","2011","Sligo","Primary",165
"9242","19 years","Both sexes","2011","Sligo","Primary",17
"9243","20 years","Both sexes","2011","Sligo","Primary",NA
"9244","21 years","Both sexes","2011","Sligo","Primary",NA
"9245","22 years","Both sexes","2011","Sligo","Primary",NA
"9246","23 years","Both sexes","2011","Sligo","Primary",NA
"9247","24 years","Both sexes","2011","Sligo","Primary",NA
"9248","25 years and over","Both sexes","2011","Sligo","Primary",NA
"9249","Not stated","Both sexes","2011","Sligo","Primary",1843
"9250","Total whose full-time education has not ceased","Both sexes","2011","Sligo","Primary",NA
"9251","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Sligo","Primary",NA
"9252","Full-time education not ceased - Other","Both sexes","2011","Sligo","Primary",NA
"9253","Total persons","Male","2011","Sligo","Primary",3289
"9254","Total whose full-time education has ceased","Male","2011","Sligo","Primary",3289
"9255","Under 15 years","Male","2011","Sligo","Primary",1504
"9256","15 years","Male","2011","Sligo","Primary",367
"9257","16 years","Male","2011","Sligo","Primary",285
"9258","17 years","Male","2011","Sligo","Primary",56
"9259","18 years","Male","2011","Sligo","Primary",73
"9260","19 years","Male","2011","Sligo","Primary",7
"9261","20 years","Male","2011","Sligo","Primary",NA
"9262","21 years","Male","2011","Sligo","Primary",NA
"9263","22 years","Male","2011","Sligo","Primary",NA
"9264","23 years","Male","2011","Sligo","Primary",NA
"9265","24 years","Male","2011","Sligo","Primary",NA
"9266","25 years and over","Male","2011","Sligo","Primary",NA
"9267","Not stated","Male","2011","Sligo","Primary",997
"9268","Total whose full-time education has not ceased","Male","2011","Sligo","Primary",NA
"9269","Full-time education not ceased - Total at school, university, etc.","Male","2011","Sligo","Primary",NA
"9270","Full-time education not ceased - Other","Male","2011","Sligo","Primary",NA
"9271","Total persons","Female","2011","Sligo","Primary",2598
"9272","Total whose full-time education has ceased","Female","2011","Sligo","Primary",2598
"9273","Under 15 years","Female","2011","Sligo","Primary",965
"9274","15 years","Female","2011","Sligo","Primary",329
"9275","16 years","Female","2011","Sligo","Primary",289
"9276","17 years","Female","2011","Sligo","Primary",67
"9277","18 years","Female","2011","Sligo","Primary",92
"9278","19 years","Female","2011","Sligo","Primary",10
"9279","20 years","Female","2011","Sligo","Primary",NA
"9280","21 years","Female","2011","Sligo","Primary",NA
"9281","22 years","Female","2011","Sligo","Primary",NA
"9282","23 years","Female","2011","Sligo","Primary",NA
"9283","24 years","Female","2011","Sligo","Primary",NA
"9284","25 years and over","Female","2011","Sligo","Primary",NA
"9285","Not stated","Female","2011","Sligo","Primary",846
"9286","Total whose full-time education has not ceased","Female","2011","Sligo","Primary",NA
"9287","Full-time education not ceased - Total at school, university, etc.","Female","2011","Sligo","Primary",NA
"9288","Full-time education not ceased - Other","Female","2011","Sligo","Primary",NA
"9289","Total persons","Both sexes","2011","Ulster (part of)","Primary",39085
"9290","Total whose full-time education has ceased","Both sexes","2011","Ulster (part of)","Primary",39085
"9291","Under 15 years","Both sexes","2011","Ulster (part of)","Primary",21332
"9292","15 years","Both sexes","2011","Ulster (part of)","Primary",4928
"9293","16 years","Both sexes","2011","Ulster (part of)","Primary",3003
"9294","17 years","Both sexes","2011","Ulster (part of)","Primary",573
"9295","18 years","Both sexes","2011","Ulster (part of)","Primary",505
"9296","19 years","Both sexes","2011","Ulster (part of)","Primary",127
"9297","20 years","Both sexes","2011","Ulster (part of)","Primary",NA
"9298","21 years","Both sexes","2011","Ulster (part of)","Primary",NA
"9299","22 years","Both sexes","2011","Ulster (part of)","Primary",NA
"9300","23 years","Both sexes","2011","Ulster (part of)","Primary",NA
"9301","24 years","Both sexes","2011","Ulster (part of)","Primary",NA
"9302","25 years and over","Both sexes","2011","Ulster (part of)","Primary",1
"9303","Not stated","Both sexes","2011","Ulster (part of)","Primary",8616
"9304","Total whose full-time education has not ceased","Both sexes","2011","Ulster (part of)","Primary",NA
"9305","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Ulster (part of)","Primary",NA
"9306","Full-time education not ceased - Other","Both sexes","2011","Ulster (part of)","Primary",NA
"9307","Total persons","Male","2011","Ulster (part of)","Primary",21859
"9308","Total whose full-time education has ceased","Male","2011","Ulster (part of)","Primary",21859
"9309","Under 15 years","Male","2011","Ulster (part of)","Primary",12425
"9310","15 years","Male","2011","Ulster (part of)","Primary",2737
"9311","16 years","Male","2011","Ulster (part of)","Primary",1624
"9312","17 years","Male","2011","Ulster (part of)","Primary",264
"9313","18 years","Male","2011","Ulster (part of)","Primary",253
"9314","19 years","Male","2011","Ulster (part of)","Primary",53
"9315","20 years","Male","2011","Ulster (part of)","Primary",NA
"9316","21 years","Male","2011","Ulster (part of)","Primary",NA
"9317","22 years","Male","2011","Ulster (part of)","Primary",NA
"9318","23 years","Male","2011","Ulster (part of)","Primary",NA
"9319","24 years","Male","2011","Ulster (part of)","Primary",NA
"9320","25 years and over","Male","2011","Ulster (part of)","Primary",1
"9321","Not stated","Male","2011","Ulster (part of)","Primary",4502
"9322","Total whose full-time education has not ceased","Male","2011","Ulster (part of)","Primary",NA
"9323","Full-time education not ceased - Total at school, university, etc.","Male","2011","Ulster (part of)","Primary",NA
"9324","Full-time education not ceased - Other","Male","2011","Ulster (part of)","Primary",NA
"9325","Total persons","Female","2011","Ulster (part of)","Primary",17226
"9326","Total whose full-time education has ceased","Female","2011","Ulster (part of)","Primary",17226
"9327","Under 15 years","Female","2011","Ulster (part of)","Primary",8907
"9328","15 years","Female","2011","Ulster (part of)","Primary",2191
"9329","16 years","Female","2011","Ulster (part of)","Primary",1379
"9330","17 years","Female","2011","Ulster (part of)","Primary",309
"9331","18 years","Female","2011","Ulster (part of)","Primary",252
"9332","19 years","Female","2011","Ulster (part of)","Primary",74
"9333","20 years","Female","2011","Ulster (part of)","Primary",NA
"9334","21 years","Female","2011","Ulster (part of)","Primary",NA
"9335","22 years","Female","2011","Ulster (part of)","Primary",NA
"9336","23 years","Female","2011","Ulster (part of)","Primary",NA
"9337","24 years","Female","2011","Ulster (part of)","Primary",NA
"9338","25 years and over","Female","2011","Ulster (part of)","Primary",NA
"9339","Not stated","Female","2011","Ulster (part of)","Primary",4114
"9340","Total whose full-time education has not ceased","Female","2011","Ulster (part of)","Primary",NA
"9341","Full-time education not ceased - Total at school, university, etc.","Female","2011","Ulster (part of)","Primary",NA
"9342","Full-time education not ceased - Other","Female","2011","Ulster (part of)","Primary",NA
"9343","Total persons","Both sexes","2011","Cavan","Primary",8170
"9344","Total whose full-time education has ceased","Both sexes","2011","Cavan","Primary",8170
"9345","Under 15 years","Both sexes","2011","Cavan","Primary",3912
"9346","15 years","Both sexes","2011","Cavan","Primary",943
"9347","16 years","Both sexes","2011","Cavan","Primary",594
"9348","17 years","Both sexes","2011","Cavan","Primary",116
"9349","18 years","Both sexes","2011","Cavan","Primary",114
"9350","19 years","Both sexes","2011","Cavan","Primary",32
"9351","20 years","Both sexes","2011","Cavan","Primary",NA
"9352","21 years","Both sexes","2011","Cavan","Primary",NA
"9353","22 years","Both sexes","2011","Cavan","Primary",NA
"9354","23 years","Both sexes","2011","Cavan","Primary",NA
"9355","24 years","Both sexes","2011","Cavan","Primary",NA
"9356","25 years and over","Both sexes","2011","Cavan","Primary",1
"9357","Not stated","Both sexes","2011","Cavan","Primary",2458
"9358","Total whose full-time education has not ceased","Both sexes","2011","Cavan","Primary",NA
"9359","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Cavan","Primary",NA
"9360","Full-time education not ceased - Other","Both sexes","2011","Cavan","Primary",NA
"9361","Total persons","Male","2011","Cavan","Primary",4761
"9362","Total whose full-time education has ceased","Male","2011","Cavan","Primary",4761
"9363","Under 15 years","Male","2011","Cavan","Primary",2421
"9364","15 years","Male","2011","Cavan","Primary",545
"9365","16 years","Male","2011","Cavan","Primary",319
"9366","17 years","Male","2011","Cavan","Primary",55
"9367","18 years","Male","2011","Cavan","Primary",65
"9368","19 years","Male","2011","Cavan","Primary",12
"9369","20 years","Male","2011","Cavan","Primary",NA
"9370","21 years","Male","2011","Cavan","Primary",NA
"9371","22 years","Male","2011","Cavan","Primary",NA
"9372","23 years","Male","2011","Cavan","Primary",NA
"9373","24 years","Male","2011","Cavan","Primary",NA
"9374","25 years and over","Male","2011","Cavan","Primary",1
"9375","Not stated","Male","2011","Cavan","Primary",1343
"9376","Total whose full-time education has not ceased","Male","2011","Cavan","Primary",NA
"9377","Full-time education not ceased - Total at school, university, etc.","Male","2011","Cavan","Primary",NA
"9378","Full-time education not ceased - Other","Male","2011","Cavan","Primary",NA
"9379","Total persons","Female","2011","Cavan","Primary",3409
"9380","Total whose full-time education has ceased","Female","2011","Cavan","Primary",3409
"9381","Under 15 years","Female","2011","Cavan","Primary",1491
"9382","15 years","Female","2011","Cavan","Primary",398
"9383","16 years","Female","2011","Cavan","Primary",275
"9384","17 years","Female","2011","Cavan","Primary",61
"9385","18 years","Female","2011","Cavan","Primary",49
"9386","19 years","Female","2011","Cavan","Primary",20
"9387","20 years","Female","2011","Cavan","Primary",NA
"9388","21 years","Female","2011","Cavan","Primary",NA
"9389","22 years","Female","2011","Cavan","Primary",NA
"9390","23 years","Female","2011","Cavan","Primary",NA
"9391","24 years","Female","2011","Cavan","Primary",NA
"9392","25 years and over","Female","2011","Cavan","Primary",NA
"9393","Not stated","Female","2011","Cavan","Primary",1115
"9394","Total whose full-time education has not ceased","Female","2011","Cavan","Primary",NA
"9395","Full-time education not ceased - Total at school, university, etc.","Female","2011","Cavan","Primary",NA
"9396","Full-time education not ceased - Other","Female","2011","Cavan","Primary",NA
"9397","Total persons","Both sexes","2011","Donegal","Primary",23348
"9398","Total whose full-time education has ceased","Both sexes","2011","Donegal","Primary",23348
"9399","Under 15 years","Both sexes","2011","Donegal","Primary",13177
"9400","15 years","Both sexes","2011","Donegal","Primary",2948
"9401","16 years","Both sexes","2011","Donegal","Primary",1792
"9402","17 years","Both sexes","2011","Donegal","Primary",327
"9403","18 years","Both sexes","2011","Donegal","Primary",265
"9404","19 years","Both sexes","2011","Donegal","Primary",74
"9405","20 years","Both sexes","2011","Donegal","Primary",NA
"9406","21 years","Both sexes","2011","Donegal","Primary",NA
"9407","22 years","Both sexes","2011","Donegal","Primary",NA
"9408","23 years","Both sexes","2011","Donegal","Primary",NA
"9409","24 years","Both sexes","2011","Donegal","Primary",NA
"9410","25 years and over","Both sexes","2011","Donegal","Primary",NA
"9411","Not stated","Both sexes","2011","Donegal","Primary",4765
"9412","Total whose full-time education has not ceased","Both sexes","2011","Donegal","Primary",NA
"9413","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Donegal","Primary",NA
"9414","Full-time education not ceased - Other","Both sexes","2011","Donegal","Primary",NA
"9415","Total persons","Male","2011","Donegal","Primary",12886
"9416","Total whose full-time education has ceased","Male","2011","Donegal","Primary",12886
"9417","Under 15 years","Male","2011","Donegal","Primary",7512
"9418","15 years","Male","2011","Donegal","Primary",1604
"9419","16 years","Male","2011","Donegal","Primary",991
"9420","17 years","Male","2011","Donegal","Primary",161
"9421","18 years","Male","2011","Donegal","Primary",132
"9422","19 years","Male","2011","Donegal","Primary",30
"9423","20 years","Male","2011","Donegal","Primary",NA
"9424","21 years","Male","2011","Donegal","Primary",NA
"9425","22 years","Male","2011","Donegal","Primary",NA
"9426","23 years","Male","2011","Donegal","Primary",NA
"9427","24 years","Male","2011","Donegal","Primary",NA
"9428","25 years and over","Male","2011","Donegal","Primary",NA
"9429","Not stated","Male","2011","Donegal","Primary",2456
"9430","Total whose full-time education has not ceased","Male","2011","Donegal","Primary",NA
"9431","Full-time education not ceased - Total at school, university, etc.","Male","2011","Donegal","Primary",NA
"9432","Full-time education not ceased - Other","Male","2011","Donegal","Primary",NA
"9433","Total persons","Female","2011","Donegal","Primary",10462
"9434","Total whose full-time education has ceased","Female","2011","Donegal","Primary",10462
"9435","Under 15 years","Female","2011","Donegal","Primary",5665
"9436","15 years","Female","2011","Donegal","Primary",1344
"9437","16 years","Female","2011","Donegal","Primary",801
"9438","17 years","Female","2011","Donegal","Primary",166
"9439","18 years","Female","2011","Donegal","Primary",133
"9440","19 years","Female","2011","Donegal","Primary",44
"9441","20 years","Female","2011","Donegal","Primary",NA
"9442","21 years","Female","2011","Donegal","Primary",NA
"9443","22 years","Female","2011","Donegal","Primary",NA
"9444","23 years","Female","2011","Donegal","Primary",NA
"9445","24 years","Female","2011","Donegal","Primary",NA
"9446","25 years and over","Female","2011","Donegal","Primary",NA
"9447","Not stated","Female","2011","Donegal","Primary",2309
"9448","Total whose full-time education has not ceased","Female","2011","Donegal","Primary",NA
"9449","Full-time education not ceased - Total at school, university, etc.","Female","2011","Donegal","Primary",NA
"9450","Full-time education not ceased - Other","Female","2011","Donegal","Primary",NA
"9451","Total persons","Both sexes","2011","Monaghan","Primary",7567
"9452","Total whose full-time education has ceased","Both sexes","2011","Monaghan","Primary",7567
"9453","Under 15 years","Both sexes","2011","Monaghan","Primary",4243
"9454","15 years","Both sexes","2011","Monaghan","Primary",1037
"9455","16 years","Both sexes","2011","Monaghan","Primary",617
"9456","17 years","Both sexes","2011","Monaghan","Primary",130
"9457","18 years","Both sexes","2011","Monaghan","Primary",126
"9458","19 years","Both sexes","2011","Monaghan","Primary",21
"9459","20 years","Both sexes","2011","Monaghan","Primary",NA
"9460","21 years","Both sexes","2011","Monaghan","Primary",NA
"9461","22 years","Both sexes","2011","Monaghan","Primary",NA
"9462","23 years","Both sexes","2011","Monaghan","Primary",NA
"9463","24 years","Both sexes","2011","Monaghan","Primary",NA
"9464","25 years and over","Both sexes","2011","Monaghan","Primary",NA
"9465","Not stated","Both sexes","2011","Monaghan","Primary",1393
"9466","Total whose full-time education has not ceased","Both sexes","2011","Monaghan","Primary",NA
"9467","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Monaghan","Primary",NA
"9468","Full-time education not ceased - Other","Both sexes","2011","Monaghan","Primary",NA
"9469","Total persons","Male","2011","Monaghan","Primary",4212
"9470","Total whose full-time education has ceased","Male","2011","Monaghan","Primary",4212
"9471","Under 15 years","Male","2011","Monaghan","Primary",2492
"9472","15 years","Male","2011","Monaghan","Primary",588
"9473","16 years","Male","2011","Monaghan","Primary",314
"9474","17 years","Male","2011","Monaghan","Primary",48
"9475","18 years","Male","2011","Monaghan","Primary",56
"9476","19 years","Male","2011","Monaghan","Primary",11
"9477","20 years","Male","2011","Monaghan","Primary",NA
"9478","21 years","Male","2011","Monaghan","Primary",NA
"9479","22 years","Male","2011","Monaghan","Primary",NA
"9480","23 years","Male","2011","Monaghan","Primary",NA
"9481","24 years","Male","2011","Monaghan","Primary",NA
"9482","25 years and over","Male","2011","Monaghan","Primary",NA
"9483","Not stated","Male","2011","Monaghan","Primary",703
"9484","Total whose full-time education has not ceased","Male","2011","Monaghan","Primary",NA
"9485","Full-time education not ceased - Total at school, university, etc.","Male","2011","Monaghan","Primary",NA
"9486","Full-time education not ceased - Other","Male","2011","Monaghan","Primary",NA
"9487","Total persons","Female","2011","Monaghan","Primary",3355
"9488","Total whose full-time education has ceased","Female","2011","Monaghan","Primary",3355
"9489","Under 15 years","Female","2011","Monaghan","Primary",1751
"9490","15 years","Female","2011","Monaghan","Primary",449
"9491","16 years","Female","2011","Monaghan","Primary",303
"9492","17 years","Female","2011","Monaghan","Primary",82
"9493","18 years","Female","2011","Monaghan","Primary",70
"9494","19 years","Female","2011","Monaghan","Primary",10
"9495","20 years","Female","2011","Monaghan","Primary",NA
"9496","21 years","Female","2011","Monaghan","Primary",NA
"9497","22 years","Female","2011","Monaghan","Primary",NA
"9498","23 years","Female","2011","Monaghan","Primary",NA
"9499","24 years","Female","2011","Monaghan","Primary",NA
"9500","25 years and over","Female","2011","Monaghan","Primary",NA
"9501","Not stated","Female","2011","Monaghan","Primary",690
"9502","Total whose full-time education has not ceased","Female","2011","Monaghan","Primary",NA
"9503","Full-time education not ceased - Total at school, university, etc.","Female","2011","Monaghan","Primary",NA
"9504","Full-time education not ceased - Other","Female","2011","Monaghan","Primary",NA
"9505","Total persons","Both sexes","2011","State","Lower secondary",499489
"9506","Total whose full-time education has ceased","Both sexes","2011","State","Lower secondary",499489
"9507","Under 15 years","Both sexes","2011","State","Lower secondary",26739
"9508","15 years","Both sexes","2011","State","Lower secondary",77950
"9509","16 years","Both sexes","2011","State","Lower secondary",155692
"9510","17 years","Both sexes","2011","State","Lower secondary",67264
"9511","18 years","Both sexes","2011","State","Lower secondary",28854
"9512","19 years","Both sexes","2011","State","Lower secondary",3969
"9513","20 years","Both sexes","2011","State","Lower secondary",2487
"9514","21 years","Both sexes","2011","State","Lower secondary",1018
"9515","22 years","Both sexes","2011","State","Lower secondary",557
"9516","23 years","Both sexes","2011","State","Lower secondary",305
"9517","24 years","Both sexes","2011","State","Lower secondary",284
"9518","25 years and over","Both sexes","2011","State","Lower secondary",2067
"9519","Not stated","Both sexes","2011","State","Lower secondary",132303
"9520","Total whose full-time education has not ceased","Both sexes","2011","State","Lower secondary",NA
"9521","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","State","Lower secondary",NA
"9522","Full-time education not ceased - Other","Both sexes","2011","State","Lower secondary",NA
"9523","Total persons","Male","2011","State","Lower secondary",268192
"9524","Total whose full-time education has ceased","Male","2011","State","Lower secondary",268192
"9525","Under 15 years","Male","2011","State","Lower secondary",14957
"9526","15 years","Male","2011","State","Lower secondary",45363
"9527","16 years","Male","2011","State","Lower secondary",87285
"9528","17 years","Male","2011","State","Lower secondary",33197
"9529","18 years","Male","2011","State","Lower secondary",13736
"9530","19 years","Male","2011","State","Lower secondary",1953
"9531","20 years","Male","2011","State","Lower secondary",1326
"9532","21 years","Male","2011","State","Lower secondary",531
"9533","22 years","Male","2011","State","Lower secondary",274
"9534","23 years","Male","2011","State","Lower secondary",152
"9535","24 years","Male","2011","State","Lower secondary",135
"9536","25 years and over","Male","2011","State","Lower secondary",925
"9537","Not stated","Male","2011","State","Lower secondary",68358
"9538","Total whose full-time education has not ceased","Male","2011","State","Lower secondary",NA
"9539","Full-time education not ceased - Total at school, university, etc.","Male","2011","State","Lower secondary",NA
